sample,11720807_x_at,11729582_s_at,11739787_a_at,11740680_s_at,11719581_a_at,11756003_x_at,11736395_a_at,11729583_x_at,11742315_s_at,11742143_s_at,11732236_a_at,11725497_a_at,11736538_s_at,11731448_a_at,11737280_at,11745557_x_at,11736696_a_at,11728138_at,11729920_at,11720494_a_at,11745299_x_at,11727807_at,11753827_x_at,11732235_a_at,11753662_x_at,11739340_at,11728137_at,11721930_a_at,11728821_a_at,11733360_x_at,11737268_s_at,11752881_s_at,11746263_a_at,11727808_s_at,11752701_s_at,11739338_at,11727970_a_at,11751870_x_at,11723952_at,11715893_s_at,11750918_a_at,11737267_a_at,11722470_x_at,11754453_s_at,11727969_a_at,11745661_x_at,11725438_a_at,11715752_at,11733482_a_at,11758559_s_at,class
GSM3507281,2.070648,6.540123,4.46696,3.852072,5.19217,3.342111,5.350638,8.874056,4.527597,3.985134,4.513814,5.554918,3.807296,5.111201,6.017539,6.888073,6.315964,3.892977,4.020287,3.484402,5.891819,4.515985,7.26345,3.288141,7.081481,5.337018,6.089514,5.864393,3.369162,4.96952,4.613138,4.313287,6.371047,8.120125,4.368705,8.203978,4.013102,3.102261,6.990975,8.925672,2.629713,4.293196,5.088181,6.469869,5.168467,3.183781,8.923876,4.452913,3.931457,5.720305,SONFH
GSM3507282,1.710112,7.065508,5.441368,4.397248,5.721687,4.174288,5.951484,9.192338,4.747499,4.625573,3.895239,6.045924,3.857323,5.394152,6.974771,7.04226,6.036865,3.92638,4.220836,4.635768,5.853504,4.507343,7.315697,3.137471,6.972324,5.708497,6.630012,6.505732,3.74971,5.487684,4.53791,4.281984,6.577296,8.250664,4.772542,8.509572,4.889334,3.25692,7.449553,11.00313,3.330983,4.351373,5.527509,7.573271,5.808995,3.594574,10.11455,4.554625,4.234454,6.782055,SONFH
GSM3507283,2.179529,6.808247,3.821526,4.429269,5.707522,3.223184,5.876096,8.950917,4.762809,4.439675,3.520629,6.265471,4.60832,5.731286,6.591382,7.119857,5.74302,4.341509,4.126191,3.883133,6.321568,4.064013,7.469562,3.224248,7.280547,5.25048,6.574541,6.622631,3.489721,5.344581,4.422647,4.446715,5.878317,7.696759,4.327404,8.009077,4.576818,3.033031,6.510966,11.65185,3.047583,4.603004,4.608067,6.940882,5.173782,3.109078,10.01462,4.406736,4.08909,6.28185,SONFH
GSM3507284,2.045525,6.553893,6.233052,4.055501,5.727777,4.924174,5.742698,8.824343,4.105603,3.968398,4.026604,6.059195,4.140141,6.096946,7.46185,7.285664,6.797999,3.915591,5.459304,4.359681,6.486156,4.25156,7.665989,3.362777,7.330825,5.641809,6.972784,6.972959,3.797955,5.652377,3.832811,3.839106,6.307533,8.043908,4.342095,8.446469,4.750635,3.394572,7.624735,9.646977,3.338664,4.4142,5.701375,7.612166,5.523571,3.410108,10.43255,4.785942,4.305495,6.856833,SONFH
GSM3507285,1.964639,7.097771,5.146425,3.077763,5.857344,3.720728,5.969129,9.176745,3.465465,3.45223,3.985791,4.996724,3.366441,4.407031,6.196296,6.541119,5.475699,3.434508,4.072704,4.081248,5.726033,3.088297,6.995868,3.839411,6.682262,5.639433,5.809913,6.171326,2.970061,5.51922,3.9726,4.01412,5.78405,7.085709,3.913893,8.257353,5.066713,3.169238,7.638464,10.62071,3.016807,4.194556,5.153374,6.848395,5.159449,3.638686,10.45752,4.316087,4.370018,6.414884,SONFH
GSM3507286,7.321263,7.158306,5.287119,3.85202,6.936872,4.266978,7.158306,9.205025,4.377775,4.352162,4.402712,6.460445,4.18863,6.25743,6.972721,8.199724,6.711511,5.341598,5.141735,3.947022,7.498852,4.908184,8.537325,3.56273,8.342616,6.328788,7.877003,6.30535,3.812236,6.011116,4.204473,4.034685,7.02925,8.716202,4.506388,9.38648,5.014476,3.361388,8.525738,12.13675,3.438988,4.596647,4.855623,7.737912,6.033881,4.098908,11.13548,4.844295,4.139173,7.044266,SONFH
GSM3507287,1.966878,4.36996,2.880813,2.200666,5.289939,3.178089,5.368217,6.112896,2.177749,2.570975,2.275557,4.471683,2.734373,4.214427,4.710593,5.104703,4.26509,3.149186,3.51472,3.562318,4.676991,3.099435,5.965093,2.846993,5.53676,4.846774,5.597427,5.566396,2.908394,4.947149,3.01344,2.792393,4.985676,7.318949,3.188507,8.211864,4.358627,2.531859,5.852207,10.74618,2.376323,2.81731,4.725712,6.200106,4.608193,2.673767,5.954187,3.62855,3.245676,5.957849,SONFH
GSM3507288,1.981822,7.675887,3.123618,3.489177,5.915339,2.449622,6.107604,9.580579,4.279156,4.335145,3.444114,5.310865,3.730539,5.39886,6.75707,7.780091,6.097696,4.146059,4.922527,4.257176,6.99957,4.703149,8.181221,3.256579,7.770802,5.937074,6.759921,6.335747,3.132211,6.269619,4.15166,4.235908,6.445396,8.123962,4.009066,8.952868,4.976168,3.051601,7.418242,6.57449,3.406084,4.227295,4.590471,7.538667,6.50542,3.219301,10.52617,4.573136,4.115616,6.822477,SONFH
GSM3507289,1.553927,4.295212,3.740793,2.745396,4.202876,3.039655,4.25801,6.320032,2.751467,2.467819,2.771017,4.750866,2.732993,4.018017,5.208559,5.434788,4.307806,2.400103,4.010991,3.071171,4.679063,3.582142,6.07658,2.784703,5.941665,4.492543,4.425797,5.090228,2.806514,3.577871,3.123992,3.221084,5.240688,7.083053,3.464473,6.749258,4.120676,2.46957,6.319193,7.451169,2.352494,3.22807,5.252659,5.64831,3.695545,2.742607,7.500126,3.886311,3.494107,5.715623,SONFH
GSM3507290,2.004308,6.799548,6.042889,4.582941,6.527347,4.776959,6.458095,9.223511,4.501051,4.368131,4.370438,7.339511,4.904764,6.428609,7.791626,7.991644,6.589221,4.161176,4.981754,4.473345,7.291437,4.0235,8.531721,3.621176,8.143235,5.798597,6.80025,6.728426,3.724193,6.590305,3.579793,4.470393,6.068933,7.83715,4.289851,8.921322,4.902402,3.320332,9.20792,12.44378,3.48144,4.17467,5.87209,8.035418,6.695682,3.645515,11.05136,4.650485,4.204382,6.983721,SONFH
