Gene,FilterAUC
11730005_a_at,0.92
11726122_at,0.92
11747861_a_at,0.92
11731423_at,0.92
11756289_x_at,0.92
11740206_x_at,0.92
11734772_a_at,0.92
11756361_x_at,0.92
11729341_at,0.92
11755072_a_at,0.92
11730501_a_at,0.92
11718559_at,0.92
11735695_a_at,0.9199999999999999
11730996_a_at,0.9199999999999999
11746754_a_at,0.9199999999999999
11730788_a_at,0.9199999999999999
11733691_a_at,0.9199999999999999
11719680_x_at,0.9199999999999999
11748747_a_at,0.9199999999999999
11716977_a_at,0.9199999999999999
11763202_x_at,0.9199999999999999
11755020_a_at,0.9199999999999999
11755571_a_at,0.9199999999999999
11761834_at,0.9183333333333332
11728703_a_at,0.9166666666666667
11743261_a_at,0.9166666666666667
11763201_at,0.9166666666666667
11735740_a_at,0.9166666666666667
11722928_a_at,0.9166666666666667
11729661_a_at,0.9166666666666667
11751356_s_at,0.9166666666666667
11720218_a_at,0.9166666666666667
11736509_x_at,0.9166666666666667
11730270_a_at,0.9166666666666667
11736888_x_at,0.9166666666666667
11716662_at,0.9166666666666667
11718600_a_at,0.9166666666666667
11755932_a_at,0.9166666666666667
11718760_a_at,0.9166666666666667
11720772_s_at,0.9166666666666667
11716087_s_at,0.9166666666666666
11757881_s_at,0.9166666666666666
11750862_a_at,0.9166666666666666
11745742_s_at,0.9166666666666666
11749635_a_at,0.9166666666666666
11755659_x_at,0.9166666666666666
11748071_a_at,0.9166666666666666
11748164_a_at,0.9166666666666666
11722943_a_at,0.9166666666666666
11716375_s_at,0.9166666666666666
11718260_at,0.9166666666666666
11744153_a_at,0.9166666666666666
11732181_x_at,0.9166666666666666
11718196_x_at,0.9166666666666666
11745956_a_at,0.9166666666666666
11752149_a_at,0.9166666666666666
11743412_at,0.9166666666666666
11739438_at,0.9166666666666666
11746195_x_at,0.9166666666666666
11755221_a_at,0.9166666666666666
11759320_at,0.9166666666666666
11756077_a_at,0.9166666666666666
11719844_at,0.9166666666666666
11745560_a_at,0.9166666666666666
11716129_at,0.9166666666666666
11732822_a_at,0.9166666666666666
11751894_x_at,0.9166666666666666
11725518_at,0.9166666666666666
11729226_x_at,0.9166666666666666
11716842_a_at,0.9166666666666666
11719436_a_at,0.9166666666666666
11721339_a_at,0.9166666666666665
11755140_a_at,0.9166666666666665
11721870_s_at,0.9133333333333334
11752044_s_at,0.9133333333333334
11715762_s_at,0.9133333333333333
11741086_x_at,0.9133333333333333
11748411_x_at,0.9133333333333333
11748311_s_at,0.9133333333333333
11726276_at,0.9133333333333333
11726218_a_at,0.9133333333333333
11724357_a_at,0.9133333333333333
11743130_a_at,0.9133333333333333
11722259_s_at,0.9133333333333333
11724353_a_at,0.9133333333333333
11716046_a_at,0.9133333333333333
11721465_a_at,0.9133333333333333
11740458_a_at,0.9133333333333333
11716128_at,0.9133333333333333
11758593_s_at,0.9133333333333333
11759966_at,0.9133333333333333
11715691_s_at,0.9133333333333333
11722576_at,0.9133333333333333
11722532_s_at,0.9133333333333333
11754780_s_at,0.9133333333333333
11749323_a_at,0.9133333333333333
11735249_x_at,0.9133333333333333
11745691_a_at,0.9133333333333333
11752202_a_at,0.9133333333333333
11755151_a_at,0.9133333333333333
11739096_s_at,0.9133333333333333
11718456_at,0.9133333333333333
11754361_s_at,0.9133333333333333
11718371_s_at,0.9133333333333333
11736017_s_at,0.9133333333333333
11719151_at,0.9133333333333333
11731397_a_at,0.9133333333333333
11718084_a_at,0.9133333333333333
11717618_s_at,0.9133333333333333
11731868_a_at,0.9133333333333333
11754297_s_at,0.9133333333333333
11723156_a_at,0.9133333333333333
11759627_at,0.9133333333333333
11729215_x_at,0.9133333333333333
11729223_at,0.9133333333333333
11761116_a_at,0.9133333333333333
11719497_at,0.9133333333333333
11739069_s_at,0.9133333333333333
11739342_a_at,0.9133333333333333
11739392_a_at,0.9133333333333333
11752692_x_at,0.9133333333333333
11731426_s_at,0.9133333333333333
11718861_a_at,0.9133333333333333
11752765_s_at,0.9133333333333333
11717178_a_at,0.9133333333333333
11752510_x_at,0.9133333333333333
11757054_x_at,0.9100000000000001
11750199_a_at,0.9100000000000001
11722900_s_at,0.91
11746309_a_at,0.91
11720394_at,0.91
11722107_at,0.91
11720408_at,0.91
11745165_a_at,0.91
11716147_s_at,0.91
11725642_at,0.91
11721588_at,0.91
11725056_a_at,0.91
11722406_at,0.91
11727006_a_at,0.91
11715676_s_at,0.91
11744412_a_at,0.91
11755644_s_at,0.91
11734870_a_at,0.91
11732330_s_at,0.91
11731425_at,0.91
11742024_a_at,0.91
11723835_at,0.91
11726389_a_at,0.91
11716497_at,0.91
11747463_a_at,0.91
11721703_s_at,0.91
11758212_s_at,0.91
11754942_x_at,0.91
11723605_a_at,0.91
11744440_s_at,0.91
11764020_s_at,0.91
11716346_at,0.91
11719346_a_at,0.91
11721762_a_at,0.91
11724248_s_at,0.91
11717542_a_at,0.91
11717170_x_at,0.91
11743507_a_at,0.91
11721455_s_at,0.91
11729520_at,0.91
11720866_a_at,0.91
11739570_at,0.91
