probe_id,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc,gene_symbol,combined_score
11716954_at,0.40740740740740744,0.4296296296296297,0.2803583832263047,0.5,CTDSP2,0.40740740740740744
11730473_at,0.40740740740740744,0.3703703703703704,0.19945054841238904,0.5833333333333334,PDE3B,0.40740740740740744
11717557_s_at,0.40740740740740744,0.4444444444444445,0.41408666249996107,0.3333333333333333,POM121 /// POM121C,0.40740740740740744
11719923_at,0.40740740740740744,0.45925925925925926,0.29583297107727197,0.75,GM2A,0.40740740740740744
11720360_a_at,0.40740740740740744,0.4370370370370371,0.39143785453675123,0.75,PHIP,0.40740740740740744
11740615_a_at,0.40740740740740744,0.4666666666666667,0.3256311798567891,0.75,KANSL1,0.40740740740740744
11718379_x_at,0.40740740740740744,0.4296296296296297,0.3203221971916985,0.75,PRKAG2,0.40740740740740744
11754219_a_at,0.40740740740740744,0.35555555555555557,0.33085498420929327,0.75,SIPA1L1,0.40740740740740744
11745243_x_at,0.40740740740740744,0.5555555555555556,0.2974514519297965,0.75,NBPF11 /// NBPF8,0.40740740740740744
11756225_s_at,0.40740740740740744,0.4222222222222222,0.23218411879492562,0.75,DNAJB6,0.40740740740740744
11717018_a_at,0.3888888888888889,0.4333333333333333,0.30976339481639137,0.3333333333333333,ATP1A1,0.3888888888888889
11727339_a_at,0.3888888888888889,0.37407407407407406,0.2239133185213606,0.25,ZBTB2,0.3888888888888889
11731798_a_at,0.3888888888888889,0.40370370370370373,0.3077641838598849,0.25,LGALS2,0.3888888888888889
11742700_s_at,0.3888888888888889,0.4666666666666667,0.29612263429273084,0.75,C1R,0.3888888888888889
11754375_s_at,0.3888888888888889,0.42592592592592593,0.2951366194538746,0.75,SNX10,0.3888888888888889
11740507_a_at,0.3703703703703704,0.4222222222222222,0.19528039002168984,0.25,ARHGAP26,0.3703703703703704
11717322_a_at,0.3703703703703704,0.562962962962963,0.35272795409804814,0.3333333333333333,UPF1,0.3703703703703704
11716904_s_at,0.3703703703703704,0.5296296296296297,0.3512665697413186,0.25,TGOLN2,0.3703703703703704
11734903_a_at,0.3703703703703704,0.5148148148148148,0.4268106752855684,0.25,C7orf26,0.3703703703703704
11754278_x_at,0.3703703703703704,0.34074074074074073,0.25846438996100596,0.25,GAK,0.3703703703703704
11759499_at,0.3703703703703704,0.437037037037037,0.36231991411542513,0.25,FAM49A,0.3703703703703704
11739054_a_at,0.3703703703703704,0.5037037037037038,0.29233462608401656,0.25,PTPN6,0.3703703703703704
11731575_a_at,0.3703703703703704,0.4518518518518519,0.35563270767874977,0.25,CTBS,0.3703703703703704
11754867_x_at,0.3703703703703704,0.4444444444444445,0.28084723866857597,0.25,U2AF1L4,0.3703703703703704
11762576_at,0.3703703703703704,0.5148148148148148,0.23292144716340923,0.25,BCL2L11,0.3703703703703704
11716201_x_at,0.3703703703703704,0.4296296296296297,0.34999510088673924,0.4166666666666667,PISD,0.3703703703703704
11734207_a_at,0.3703703703703704,0.4814814814814815,0.2605786533235239,0.25,ZNF155,0.3703703703703704
11729658_a_at,0.3703703703703704,0.3703703703703704,0.28084723866857597,0.25,SP110,0.3703703703703704
11758423_s_at,0.3703703703703704,0.47407407407407404,0.3114196001418949,0.25,ATP13A5 /// HARS,0.3703703703703704
11746549_x_at,0.3703703703703704,0.4222222222222222,0.3907363524415684,0.25,CNN2,0.3703703703703704
11737932_x_at,0.3703703703703704,0.5037037037037038,0.3499951008867393,0.25,LILRA1,0.3703703703703704
11723513_a_at,0.3703703703703704,0.3740740740740741,0.2827942099084604,0.25,CDC14B,0.3703703703703704
11755830_a_at,0.3703703703703704,0.3777777777777778,0.37987796755431363,0.25,MYO1G,0.3703703703703704
11717069_at,0.3703703703703704,0.5407407407407407,0.3203221971916986,0.25,DIP2B,0.3703703703703704
11715732_at,0.3703703703703704,0.45925925925925926,0.4510314349146932,0.25,PSMB3,0.3703703703703704
11744017_at,0.3703703703703704,0.48888888888888893,0.330647616602454,0.25,FERMT3,0.3703703703703704
11741660_a_at,0.3703703703703704,0.4518518518518519,0.42179965859282786,0.3333333333333333,TAGAP,0.3703703703703704
11763350_a_at,0.3703703703703704,0.3851851851851852,0.3060882001688057,0.4166666666666667,FAM212B /// LOC101928718,0.3703703703703704
11720335_s_at,0.3703703703703704,0.4296296296296297,0.422774168151882,0.75,ZMIZ1,0.3703703703703704
11757933_s_at,0.3703703703703704,0.3925925925925926,0.34999510088673924,0.75,BTG2,0.3703703703703704
11717646_a_at,0.3703703703703704,0.3851851851851852,0.3818588568528002,0.5,MCMBP,0.3703703703703704
11744592_a_at,0.3703703703703704,0.5111111111111112,0.37897414051219214,0.75,GON4L,0.3703703703703704
11755616_a_at,0.3703703703703704,0.42222222222222233,0.43791500011429496,0.75,SLC8B1,0.3703703703703704
11758257_s_at,0.3703703703703704,0.5111111111111112,0.31251886088487385,0.75,SLC19A1,0.3703703703703704
11755009_s_at,0.3703703703703704,0.44074074074074077,0.36298185891856644,0.75,VCAN,0.3703703703703704
11749052_a_at,0.3703703703703704,0.28148148148148155,0.23511955923116856,0.75,POU2F2,0.3703703703703704
11750837_a_at,0.3703703703703704,0.437037037037037,0.19316155274674512,0.75,SCYL3,0.3703703703703704
11747437_a_at,0.3703703703703704,0.3925925925925926,0.38095972949996415,0.75,CARD8,0.3703703703703704
11756883_s_at,0.3703703703703704,0.3777777777777778,0.2825515721890467,0.75,PRRC2C,0.3703703703703704
11747418_a_at,0.3703703703703704,0.3296296296296296,0.33497537939540784,0.75,NAPSB,0.3703703703703704
11728839_s_at,0.3703703703703704,0.41481481481481486,0.3488173237917364,0.75,TMCC3,0.3703703703703704
11759497_at,0.3703703703703704,0.41481481481481486,0.4043657500431461,0.75,CHST11,0.3703703703703704
11718705_at,0.3703703703703704,0.3814814814814815,0.3368131124263602,0.75,IGF1R,0.3703703703703704
11719704_at,0.3703703703703704,0.4444444444444445,0.4295338335090075,0.75,CD2BP2,0.3703703703703704
11721234_a_at,0.3703703703703704,0.5185185185185185,0.29280348705262776,0.75,ZNF75D,0.3703703703703704
11716963_a_at,0.3703703703703704,0.3037037037037037,0.29675889813348344,0.75,PPM1F,0.3703703703703704
11734117_a_at,0.3703703703703704,0.3703703703703704,0.18332398030762345,0.75,BTN3A3,0.3703703703703704
11725229_s_at,0.3703703703703704,0.3851851851851852,0.38632310549349036,0.75,HEATR5A,0.3703703703703704
11735060_a_at,0.3703703703703704,0.4518518518518519,0.27392388277186064,0.75,CD46,0.3703703703703704
11752327_a_at,0.3703703703703704,0.49629629629629635,0.2520151975733926,0.75,ZBTB18,0.3703703703703704
11740117_a_at,0.3703703703703704,0.3740740740740741,0.3667414813311194,0.5833333333333334,RNF24,0.3703703703703704
11730439_a_at,0.37037037037037035,0.31851851851851853,0.25201519757339264,0.25,AKAP9,0.37037037037037035
11761972_a_at,0.37037037037037035,0.45185185185185184,0.3388433484883757,0.25,USP19,0.37037037037037035
11728738_x_at,0.37037037037037035,0.5037037037037038,0.2587296177270071,0.25,TBC1D20,0.37037037037037035
11759626_at,0.37037037037037035,0.3814814814814815,0.2961805329411075,0.25,USP15,0.37037037037037035
11744386_a_at,0.37037037037037035,0.4,0.2688695024130598,0.25,RHOT2,0.37037037037037035
11720096_a_at,0.37037037037037035,0.35555555555555557,0.2678471812113266,0.25,LIMD2,0.37037037037037035
11731729_at,0.37037037037037035,0.4222222222222222,0.2703957370139849,0.25,P2RY13,0.37037037037037035
11726071_a_at,0.37037037037037035,0.37777777777777777,0.39752319599996266,0.25,MAP4K4,0.37037037037037035
11718005_a_at,0.37037037037037035,0.3925925925925926,0.2506507306027945,0.25,CDC25B,0.37037037037037035
11750044_a_at,0.37037037037037035,0.3925925925925926,0.1844429570072405,0.25,NFS1,0.37037037037037035
11734923_a_at,0.37037037037037035,0.5185185185185185,0.2974514519297965,0.25,ATHL1,0.37037037037037035
11722548_at,0.37037037037037035,0.34814814814814815,0.2887939065128582,0.25,HIVEP1,0.37037037037037035
11754330_a_at,0.37037037037037035,0.5037037037037038,0.41458326870979917,0.75,IRF2,0.37037037037037035
11733691_a_at,0.37037037037037035,0.5037037037037038,0.4011300908611054,0.25,SIGLEC7,0.37037037037037035
11733513_a_at,0.37037037037037035,0.562962962962963,0.36981439752197387,0.25,WLS,0.37037037037037035
11724979_a_at,0.37037037037037035,0.2814814814814815,0.26267589965180954,0.25,DPEP2,0.37037037037037035
11752098_a_at,0.37037037037037035,0.5037037037037038,0.3440659011109213,0.3333333333333333,DHX8,0.37037037037037035
11722943_a_at,0.37037037037037035,0.5481481481481482,0.31361426859283775,0.3333333333333333,ATXN1,0.37037037037037035
11762627_x_at,0.37037037037037035,0.5037037037037038,0.45103143491469316,0.3333333333333333,NBPF8,0.37037037037037035
11746972_a_at,0.37037037037037035,0.3592592592592593,0.4013864859597432,0.5,MARCH1,0.37037037037037035
11756345_x_at,0.37037037037037035,0.4518518518518519,0.27765429354061205,0.75,TMEM91,0.37037037037037035
11727314_a_at,0.37037037037037035,0.3925925925925926,0.1605887658420652,0.75,ABCC5,0.37037037037037035
11752569_x_at,0.37037037037037035,0.49629629629629635,0.406227246909519,0.75,LCK,0.37037037037037035
11715657_a_at,0.37037037037037035,0.41111111111111115,0.22467779093486076,0.75,GLB1,0.37037037037037035
11752428_x_at,0.35185185185185186,0.4481481481481482,0.30496576074428006,0.3333333333333333,CFLAR,0.35185185185185186
11725729_s_at,0.35185185185185186,0.32962962962962966,0.17877805016514325,0.25,C1orf56,0.35185185185185186
11744874_x_at,0.35185185185185186,0.38888888888888895,0.40061680838488767,0.25,CLN3,0.35185185185185186
11719448_at,0.35185185185185186,0.38888888888888895,0.31097880784716053,0.25,RAB14,0.35185185185185186
11759887_x_at,0.35185185185185186,0.47777777777777775,0.3519493042430993,0.75,NBPF8,0.35185185185185186
11725980_at,0.35185185185185186,0.46296296296296297,0.30876540741727904,0.75,CFD,0.35185185185185186
11731024_s_at,0.35185185185185186,0.5296296296296296,0.43814987006956346,0.75,ATXN7,0.35185185185185186
11760160_at,0.33333333333333337,0.3777777777777778,0.3735052514215914,0.25,USP36,0.33333333333333337
11719299_s_at,0.33333333333333337,0.3703703703703704,0.2484519974999767,0.25,CTDSP1,0.33333333333333337
11720276_s_at,0.33333333333333337,0.5222222222222223,0.35486043161491804,0.25,TREX1,0.33333333333333337
11716810_a_at,0.33333333333333337,0.4444444444444445,0.3980404677815681,0.25,SIN3B,0.33333333333333337
11735712_x_at,0.33333333333333337,0.37037037037037035,0.3963136029450499,0.25,CSNK1G2,0.33333333333333337
