Gene,Iteration,N_train,N_test,TrainAUC,TestAUC,TrainAcc,TestAcc,ScaleMean,ScaleSD,Notes
11717993_at,4,28,12,0.9795918367346939,0.888888888888889,0.8928571428571429,0.9166666666666666,8.308463714285713,0.5820869951676025,
11717993_at,5,28,12,0.9387755102040817,1.0,0.8928571428571429,0.9166666666666666,8.367407821428571,0.5205395831592765,
11747228_x_at,1,28,12,0.979591836734694,1.0,0.8928571428571429,0.75,9.128435,0.3638589069754009,
11747228_x_at,2,28,12,0.9727891156462585,1.0,0.9285714285714286,0.8333333333333334,9.056538392857144,0.3928939309684957,
11747228_x_at,3,28,12,1.0,0.9259259259259259,0.9642857142857143,0.75,9.11844582142857,0.3397800613653066,
11747228_x_at,4,28,12,1.0,1.0,0.9642857142857143,0.8333333333333334,9.05590775,0.31965408140046064,
11747228_x_at,5,28,12,0.9931972789115646,0.888888888888889,0.9285714285714286,0.8333333333333334,9.106287678571428,0.36820723637517105,
11716904_s_at,1,28,12,0.9319727891156462,0.8888888888888888,0.8928571428571429,0.9166666666666666,10.043797892857144,0.54238654444261,
11716904_s_at,2,28,12,0.9523809523809523,0.7777777777777779,0.9642857142857143,0.75,10.045680464285713,0.5341456728847638,
11716904_s_at,3,28,12,0.8775510204081634,1.0,0.8571428571428571,0.75,10.076816428571428,0.46295140726097866,
11716904_s_at,4,28,12,0.9183673469387755,1.0,0.8928571428571429,0.8333333333333334,10.051947535714286,0.4668642514971945,
11716904_s_at,5,28,12,0.9251700680272109,1.0,0.8928571428571429,0.8333333333333334,10.028243857142858,0.5503725387850664,
11726632_at,1,28,12,0.9523809523809523,0.7777777777777779,0.9642857142857143,0.8333333333333334,7.937353,0.6620163540852827,
11726632_at,2,28,12,0.8843537414965986,1.0,0.8928571428571429,0.9166666666666666,7.891678964285714,0.5093483862738151,
11726632_at,3,28,12,0.8843537414965987,1.0,0.8571428571428571,0.8333333333333334,7.810067607142856,0.6317477375757076,
11726632_at,4,28,12,0.8843537414965986,1.0,0.8571428571428571,1.0,7.858651249999999,0.6350887084615657,
11726632_at,5,28,12,0.8979591836734694,1.0,0.8928571428571429,0.9166666666666666,7.925999714285714,0.5042162045604274,
11717721_s_at,1,28,12,0.9727891156462585,0.8148148148148149,0.9285714285714286,0.6666666666666666,8.968780785714284,0.5952481584178806,
11717721_s_at,2,28,12,0.8843537414965987,1.0,0.8571428571428571,0.9166666666666666,8.94886532142857,0.4529613565609758,
11717721_s_at,3,28,12,0.945578231292517,0.8518518518518519,0.9285714285714286,0.6666666666666666,8.933444999999999,0.5284878605466593,
11717721_s_at,4,28,12,0.9251700680272108,0.925925925925926,0.8571428571428571,0.9166666666666666,8.929221964285714,0.5539771889771932,
11717721_s_at,5,28,12,0.9047619047619048,0.8888888888888888,0.8214285714285714,0.9166666666666666,8.98779682142857,0.5151157776314882,
11746459_a_at,1,28,12,0.9659863945578231,0.7777777777777778,0.9285714285714286,0.75,5.857737285714284,0.6271265817414026,
11746459_a_at,2,28,12,0.9659863945578231,0.962962962962963,0.8571428571428571,0.9166666666666666,5.845027571428571,0.6040363751790443,
11746459_a_at,3,28,12,0.9183673469387755,1.0,0.8571428571428571,0.8333333333333334,5.817095714285715,0.43407558408909125,
11746459_a_at,4,28,12,0.9591836734693877,0.888888888888889,0.8928571428571429,0.75,5.799161785714285,0.6414050953340416,
11746459_a_at,5,28,12,0.9115646258503401,0.9259259259259259,0.8928571428571429,0.8333333333333334,5.767824214285715,0.6060449418934367,
11755068_s_at,1,28,12,0.9251700680272109,0.8888888888888888,0.8571428571428571,0.8333333333333334,8.058699214285715,0.6063856211315845,
11755068_s_at,2,28,12,0.9659863945578231,0.925925925925926,0.8571428571428571,0.9166666666666666,7.931257749999999,0.7268355920548676,
11755068_s_at,3,28,12,0.9251700680272108,0.962962962962963,0.8928571428571429,0.8333333333333334,7.980181464285715,0.716774106207108,
11755068_s_at,4,28,12,0.9081632653061223,0.8518518518518519,0.8571428571428571,0.75,8.08024532142857,0.6414846863321607,
11755068_s_at,5,28,12,0.9591836734693877,0.7037037037037037,0.9642857142857143,0.75,8.040390535714286,0.6508158726931105,
11732338_a_at,1,28,12,0.9047619047619049,1.0,0.75,0.8333333333333334,7.640760857142857,0.42792123259056764,
11732338_a_at,2,28,12,0.9183673469387755,0.9259259259259259,0.8214285714285714,0.9166666666666666,7.646337821428572,0.4832378695794729,
11732338_a_at,3,28,12,0.9455782312925171,0.8148148148148149,0.8928571428571429,0.75,7.70742625,0.4015679435209885,
11732338_a_at,4,28,12,0.9455782312925171,0.888888888888889,0.8928571428571429,0.75,7.652856571428571,0.5089320238635111,
11732338_a_at,5,28,12,0.9387755102040817,0.8888888888888888,0.8571428571428571,0.8333333333333334,7.687681964285715,0.4818470042356292,
11757369_s_at,1,28,12,1.0,0.6666666666666667,1.0,0.75,8.092077142857143,0.5505875302288096,
11757369_s_at,2,28,12,0.870748299319728,0.962962962962963,0.9642857142857143,0.9166666666666666,8.108009357142855,0.42414596593976805,
11757369_s_at,3,28,12,0.8775510204081632,1.0,0.9285714285714286,0.75,8.087771357142858,0.5341192034077269,
