probe_id,gene_symbol,abs_log_fold_change,variance
11716069_at,DESI2,0.24714883333333315,0.30143706057066094
11716071_s_at,PIM3,0.7461555999999998,0.4368465496154975
11716072_s_at,ATP6V1B2,1.1577704000000004,0.5027118458720922
11716073_a_at,ATP6V1B2,1.2043725999999975,0.5678717630040487
11716076_at,HSBP1,0.28505860000000194,0.2809280466821822
11716077_x_at,HSBP1,0.21533016666666693,0.2394465914219584
11716078_a_at,ELOVL5,0.710520933333334,0.2793552980775282
11716084_at,SF3B1,0.7734131333333334,0.5012622457130025
11716087_s_at,AKT1,0.8888372666666653,0.2936355725280999
11716092_x_at,CKS1B,0.5203698333333335,0.3221481287477634
11716093_a_at,KLF6,0.6990282000000008,0.35053085618743335
11716094_a_at,KLF6,0.5055566333333346,0.2909008093494866
11716095_s_at,KLF6,0.7824508666666681,0.38955061202023333
11716097_a_at,RAP1A,0.4795853666666652,0.19741681188976345
11716098_a_at,RAP1A,0.4858843999999989,0.22515265824743586
11716100_a_at,ATG3,0.19038410000000106,0.20159499110871718
11716101_s_at,ATG3,0.25708099999999945,0.17311945944325893
11716102_x_at,ATG3,0.1932138666666674,0.18957612763609236
11716103_a_at,PCNA,0.14761746666666475,0.4034541154915795
11716104_a_at,MPZL1,0.44098646666666586,0.25380081429690005
11716105_a_at,MPZL1,0.4800528333333345,0.2887278688056353
11716110_s_at,PIGR,0.3969237666666663,0.1877065972325583
11716116_at,NDUFS6,0.30535609999999913,0.2072207681575892
11716117_at,PDIA4,0.4554098333333334,0.27133976454412756
11716118_a_at,PDIA4,0.7044719666666666,0.4334486324212405
11716119_x_at,PDIA4,0.6456552999999996,0.34721296517077876
11716121_s_at,API5,0.33300320000000116,0.16954780425964108
11716126_x_at,ZYX,0.6712926333333336,0.23840926704214815
11716127_a_at,BAG1,0.6988747666666661,0.6420535685390507
11716128_at,IGF2R,1.1746576666666702,0.5383725663462539
11716129_at,IGF2R,1.2975832333333326,0.6740560410161789
11716135_a_at,MVP,0.7709192666666675,0.3239669661512076
11716136_s_at,COX7A2 /// TMEM30A,0.6711826666666649,0.33987169641492304
11716137_a_at,COX7A2 /// TMEM30A,0.593437299999998,0.2760988846715326
11716138_a_at,TMEM30A,0.7782089999999995,0.46287551684392564
11716149_a_at,PMEPA1,0.033104400000000034,0.18810842365491284
11716160_at,LBH,0.36446796666666614,0.2884097440643275
11716161_s_at,LBH,0.4828953000000009,0.24819915413583024
11716162_at,LBH,0.43488416666667007,0.20151529733545576
11716165_a_at,MGST3,0.35024893333333385,0.21617475140701542
11716166_x_at,NUDC,0.266529900000001,0.15866369250367623
11716167_a_at,MX1,1.3111885666666687,1.998037006203779
11716168_s_at,MRFAP1L1,0.4356601666666675,0.23321472433360968
11716169_at,CCDC28A,0.3956126333333341,0.18164728529112242
11716176_s_at,METAP2,0.18412193333333438,0.37900699416932054
11716177_a_at,METAP2,0.3746603999999998,0.3680146202109641
11716178_s_at,C5orf15,0.31385679999999905,0.27884606877245116
11716179_at,C5orf15,0.3639848333333351,0.30859691410149676
11716186_s_at,ALCAM,0.4004632000000017,0.32652171623826665
11716187_a_at,ABCB6 /// ATG9A,0.994398966666667,0.4987070561616865
11716194_a_at,SETD2,0.0066021999999996694,0.158648429859782
11716199_x_at,UBE2Q2,0.346488466666667,0.30070644295074617
11716200_s_at,UBE2Q2,0.3789833333333332,0.3301530472281641
11716201_x_at,PISD,0.846901899999998,0.39761983347462493
11716206_a_at,GLUD1,0.190882833333335,0.21701074877941992
11716207_s_at,GLUD1 /// GLUD2,0.35906159999999865,0.3231662499932204
11716208_s_at,GLUD1,0.3732432333333344,0.35584323303557375
11716213_a_at,PLXNB2,0.4781288666666663,0.22490384284240778
11716221_at,EIF2S1,0.13260403333333226,0.22006309556540962
11716223_a_at,SEC61G,0.47361203333333,0.22211710517144562
11716226_a_at,LIMA1,0.34240663333333377,0.20554162880031732
11716228_x_at,MPDU1,0.19674640000000032,0.1935804097041641
11716231_s_at,TMEM167B,0.579075633333332,0.22513298644081475
11716238_at,ARHGAP1,0.7501283333333317,0.2111599916055667
11716240_at,RAB6A,0.6430388999999987,0.3540732710926865
11716244_s_at,WASF2,1.001787666666666,0.3945243559589204
11716245_at,WASF2,0.5648551333333316,0.23602915451286932
11716246_at,WASF2,0.7397745999999978,0.2957893404969616
