gene_rank,gene_symbol,probe_id,probe_rank,probe_type,multivariate_score,abs_fold_change,log_fold_change,mean_sonfh,mean_control,t_stat,p_value,iqr,variance
17022,CATSPERB,11755679_a_at,35661,_a_at,-1.4867,0.0909,0.0909,3.2546,3.1637,0.9296,0.3718056261618106,0.2321,0.0456
17023,LINC00328,11762537_at,35664,_at,-1.4868,0.1044,-0.1044,2.2099,2.3143,-0.8754,0.40123284707428575,0.2312,0.0542
17024,UQCRC2,11744060_s_at,35666,_s_at,-1.4869,0.1501,0.1501,9.0632,8.9132,0.692,0.5045519070784795,0.5048,0.1664
17025,GLB1L3,11752882_a_at,35671,_a_at,-1.4873,0.0914,-0.0914,4.9287,5.0201,-0.9269,0.3740102655981789,0.2376,0.0422
17026,TXNDC16,11723856_at,35678,_at,-1.488,0.1441,0.1441,5.4148,5.2707,0.7148,0.48889806263291696,0.5468,0.1953
17027,HACE1,11734159_a_at,35677,_a_at,-1.488,0.1575,0.1575,4.2064,4.0488,0.6611,0.5216033297284351,0.6073,0.2678
17028,PRAMEF16 /// PRAMEF17,11741991_at,35681,_at,-1.4881,0.0762,-0.0762,2.306,2.3822,-0.9869,0.33996048805187107,0.3166,0.0411
17029,RBMXL3,11734279_at,35684,_at,-1.4883,0.1074,-0.1074,3.0125,3.1199,-0.8616,0.4056156884499327,0.3578,0.0822
17030,MEX3D,11755094_a_at,35685,_a_at,-1.4884,0.174,-0.174,4.6302,4.8041,-0.5944,0.5661454847420927,0.4292,0.248
17031,FBXO48,11735190_at,35690,_at,-1.4887,0.1025,-0.1025,2.9791,3.0816,-0.8808,0.3981265037027294,0.2414,0.0537
17032,RNASE13,11738547_at,35700,_at,-1.49,0.1287,-0.1287,5.4224,5.5511,-0.7743,0.45521145620411974,0.5248,0.1184
17033,CDYL2,11740179_at,35705,_at,-1.4901,0.1017,-0.1017,3.9478,4.0496,-0.8824,0.39588828322592057,0.3625,0.0621
17034,HNRNPA1L2,11756086_x_at,35707,_x_at,-1.4902,0.1729,0.1729,2.7117,2.5388,0.5968,0.5636302970075718,0.4562,0.3017
17035,CD38,11729769_a_at,35708,_a_at,-1.4904,0.2058,0.2058,5.8777,5.6719,0.4647,0.6502671839330618,1.4305,1.0475
17036,MYBPH,11725925_at,35711,_at,-1.4907,0.1177,-0.1177,4.943,5.0607,-0.8176,0.4290164933653676,0.3575,0.1134
17037,WFDC8,11734486_a_at,35714,_a_at,-1.4909,0.115,-0.115,3.6154,3.7304,-0.8282,0.42622572260631564,0.3135,0.0735
17038,COL6A6,11756896_a_at,35716,_a_at,-1.4913,0.1097,-0.1097,2.8387,2.9483,-0.849,0.41394050981433544,0.3658,0.0735
17039,MAP2K6,11758909_at,35718,_at,-1.4915,0.0776,-0.0776,2.368,2.4456,-0.9775,0.34580616753997584,0.242,0.0388
